id,record_group_id,name,description,language,translated_to_en,category,subcategory,created_at,user_id,product,channel,priority,region,duplicate_type
10436,1874,فقادن الحزم,مشكلة مرتبطة بـ فقادن الحزم,Arabic,Network error,IT,Infrastructure,2025-12-05 21:15:28.482661,c7fd4617,RoleManager,API,2,Latin America,typo
2653,479,Yazılım güncelleme sorunu,Yazılım güncelleme sorunu ile ilgili sorun,Turkish,Software update issue,Support,Access,2026-01-18 21:15:28.405201,8804121e,IntegrationBus,Telegram,5,Latin America,noise
18246,3297,Tatizo la kuingia hai,Tatizo linalohusiana na Tatizo la kuingia hai,Swahili,Login issue,HR,Attendance,2025-06-25 21:15:28.575193,dcf41c89,HelpDesk,Web,1,Africa,codemix
1735,323,التحديث مقطوع / سافٹ ویئر اپڈیٹ مسئلہ,مشكلة مرتبطة بـ التحديث مقطوع / سافٹ ویئر اپڈیٹ مسئلہ,Arabic,Software update issue,IT,Cloud,2025-07-11 21:15:28.396318,943ab556,SecureLogin,Browser Extension,4,North America,cross_lang
18198,3287,সফটওয়্যার আপডেট সমস্যা / Corrupted installer,সফটওয়্যার আপডেট সমস্যা / Corrupted installer সম্পর্কিত সমস্যা,Bengali,Software update issue,Sales,Commission,2026-03-07 21:15:28.575193,bcd65241,ReportGen,Desktop App,4,Sub-Saharan Africa,cross_lang
17645,3184,Transacción rechazada??,Cliente reporta: Transacción rechazada??,Spanish,Payment failed,Finance,Ledger,2025-12-11 21:15:28.569428,6ed1f8c8,ReportGen,API,4,North America,noise
1109,203,ログインの問題,ログインの問題 に関連する問題,Japanese,Login issue,HR,Exit,2026-01-17 21:15:28.386781,d04dfd0e,SchedulerX,Email,4,South Asia,abbreviation
8675,1557,데이터 동기화 문제,데이터 동기화 문제 관련 문제,Korean,Data sync issue,IT,DevOps,2026-01-25 21:15:28.460257,427fe100,BackupNow,Web,2,North America,paraphrase
17690,3193,Softwareaktualisierungsproblem / Проблема обновления ПО,Problem im Zusammenhang mit Softwareaktualisierungsproblem / Проблема обновления ПО,German,Software update issue,IT,Monitoring,2026-03-08 21:15:28.569428,5a5f79b4,BillingPro,Tablet,5,Europe,cross_lang
17152,3096,Yavaş performans مشكلة,Yavaş performans مشكلة ile ilgili sorun,Turkish,Slow performance,Finance,Refund,2025-07-22 21:15:28.563395,63255b80,AuthGuard,Social Media,1,Southeast Asia,codemix
15232,2743,Problema de sincornização de dados,Problema relacionado a Problema de sincornização de dados,Portuguese,Data sync issue,IT,Monitoring,2026-03-13 21:15:28.537707,8ba5e24a,BackupNow,API,1,Central Asia,typo
10048,1807,Problema id accesso,Problema relativo a Problema id accesso,Italian,Login issue,Finance,Billing,2025-10-18 21:15:28.477766,8017147f,AppX,Slack,1,Americas,typo
17154,3096,ধীর কার্যক্ষমতা,ধীর কার্যক্ষমতা সম্পর্কিত সমস্যা,Bengali,Slow performance,Support,Ticket,2026-03-11 21:15:28.563395,ea57e535,SearchEngine,SMS,1,Africa,noise
