id,name,language,category,duplicate_type,cluster_id
101,wireless gaming mouse rgb 2023,en,Mixed,Formatting,-1
11,Noise Cancellign Headphones 700,en,Audio,Typo,2
5,Wireless Gaimng Mouse RGB,en,Electronics,Typo,1
82,casque réduction bruit 700 2023,fr,Mixed,Formatting,-1
98,Buy Stainless Steel Water Bottle 32oz Cheap,en,Mixed,SEO Spam,-1
66,Cable Ties 100pcs,en,Accessories,Unique,16
31,Ergonomic Office Chair Mesh,en,Furniture,Original,6
34,Chaise de Bureau Ergonomique Maille,fr,Furniture,Exact Translation,6
94,Buy メカニカルキーボード 青軸 Cheap,ja,Mixed,SEO Spam,-1
12,Noise Cancelling Headphones 700,en,Audio,Abbreviation/Phonetic,2
48,Running Shoes Men Size 10,en,Apparel,Abbreviation/Phonetic,8
43,Running Shoes Men Size 10,en,Apparel,Original,8
1,Wireless Gaming Mouse RGB,en,Electronics,Original,1
79,Buy Clavier Mécanique Switch Bleu Cheap,fr,Mixed,SEO Spam,-1
19,Smartphone 128GB Black,en,Mobiles,Original,4
65,Desk Lamp LED,en,Accessories,Unique,15
68,Buy メカニカルキーボード 青軸 Cheap,ja,Mixed,SEO Spam,-1
80,Buy Teléfono Inteligente 128GB Negro Cheap,es,Mixed,SEO Spam,-1
56,Gafas de Realidad Virtual Pro,es,Gaming,Exact Translation,10
45,ランニングシューズ メンズ サイズ10,ja,Apparel,Exact Translation,8
13,Mechanical Keyboard Blue Switches,en,Computers,Original,3
81,Buy Wireless Gaming Mouse RGB Cheap,en,Mixed,SEO Spam,-1
63,AA Batteries 4-Pack,en,Accessories,Unique,13
27,4K Ultra HD スマートテレビ,ja,TV/Video,Exact Translation,5
23,Smartphone1 28GB Black,en,Mobiles,Typo,4
32,Silla de Oficina Ergonómica Malla,es,Furniture,Exact Translation,6
46,Chaussures de Course Homme Taille 10,fr,Apparel,Exact Translation,8
74,casque réduction bruit 700 2022,fr,Mixed,Formatting,-1
16,Clavier Mécanique Switch Bleu,fr,Computers,Exact Translation,3
78,Buy Mechanical Keyboard Blue Switches Cheap,en,Mixed,SEO Spam,-1
37,Bluetooth Speaker Waterproof,en,Audio,Original,7
89,ランニングシューズ メンズ サイズ10 2023,ja,Mixed,Formatting,-1
10,Casque Réduction Bruit 700,fr,Audio,Exact Translation,2
54,Stainless Steel Water Bottle 32oz,en,Kitchen,Abbreviation/Phonetic,9
96,防水 bluetooth スピーカー 2024,ja,Mixed,Formatting,-1
29,4K Ultra DH Smart TV,en,TV/Video,Typo,5
41,Bluetooth Spekaer Waterproof,en,Audio,Typo,7
6,Wirelss Gmn Mouse RGB,en,Electronics,Abbreviation/Phonetic,1
105,smart tv 4k ultra hd 2024,es,Mixed,Formatting,-1
77,ステンレス水筒 32オンス 2024,ja,Mixed,Formatting,-1
40,Enceinte Bluetooth Imperméable,fr,Audio,Exact Translation,7
